Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Notes,Location,Latitude,Longitude,Condition,Mapped Location
88,1992,Tennessee Ornithological Society,"On October 7, 1915, Dr. George Curtis, Albert F. Ganier, Judge H.Y. Hughes, Dr. George R. Mayfield, Dixon Merritt, and A.C. Webb met at Faucon's Restaurant, 419 Union Street, approximately 50 feet east of here, to found the Tennessee Ornithological Society. T.O.S. was chartered by the state for the purpose of studying Tennessee birds. A journal, The Migrant, publishes accurate records of birds across the state. The Birds of the Nashville Area has local records. T.O.S. is the state's oldest conservation group in continuing existence.",,Donated in memory of B.B. Coffey (1870-1966).,"Union Street, between Fifth Avenue North and Arcade Alley, wall marker",36.165814,-86.780806,,POINT (-86.780806 36.165814)
1,1968,Heaton's Station,"Heaton's Station (also called Old Heaton Station, Eaton Station, and Heatonsburg) was founded by Amos Heaton after arriving here with James Robertson in Dec. 1779. Stations founded by others in the surrounding area included: Fort Union, Freelands, Nashborough, Stones River, Mansker, Asher, and Bledsoe. By 1783, only two stations remained, Heaton and Nashborough. The Heaton family moved west in 1786 to New Heaton Station, along the present-day Eaton Creek area of Whites Creek.",,Marker Project- prioirty list replaced with updated text 2018,Lock Road at Baptist World Center Dr.,36.201212,-86.788031,,POINT (-86.788031 36.201212)
186,2019,Nashville Porter and Ale Brewery,"In 1815, T.M. Burland opened a small brewery 1.5 miles west of Nashville along Cockrill Spring. The brewery used water from the nearby spring and barley purchased from local farmers. J.T. and W.B. Smith operated the brewery from 1834 until it was purchased by P. Jonte and J.B. Bergerot in 1838. The brewery closed in 1841. Coincidently, S. Weins and K. Taylor co-founded the Blackstone Brewery near this location in 1994, on the same tract of land as the Porter and Ale Brewery.",,donated by Scott Mertie family,1901 Charlotte Ave.,36.157522,-86.801631,,POINT (-86.801631 36.157522)
140,2011,Bradley Studios,"In 1955, brothers Owen and Harold Bradley built a recording studio in the basement of a house on this site. They added another studio here in an army Quonset Hut, producing hits by Patsy Cline, Red Foley, Brenda Lee, Marty Robbins, Sonny James, and others. Columbia Records purchased the studios in 1962. The studio established its reputation in the music industry with hits by stars including Johnny Cash, Bob Dylan, Roger Miller, George Jones, and Tammy Wynette.",,Donated by the Mike Curb Foundation,34 Music Square East,36.149432,-86.792024,,POINT (-86.792024 36.149432)
6,1968,Battle of Nashville Stewart's Line,"Loring's division of Stewart's Corps, Hood's Confederate Army of Tennessee, fought behind this stone wall Dec. 16, 1864.  All Federal attacks were beaten back until the Confederate line was broken a mile to the west.  The division retreated south through the hills toward Brentwood.",TRUE,,4618 Lealand Lane,36.086311,-86.791167,,POINT (-86.791167 36.086311)
90,1992,University School of Nashville,"Founded in 1915 as the successor to The Winthrop Model School at the University of Nashville, Peabody Demonstration School was established at this site in 1925 to utilize the teacher training methods developed at George Peabody College for Teachers. It became an independent institution in 1975 and was renamed University School of Nashville.",,,2000 Edgehill Avenue,36.14399,-86.798228,,POINT (-86.798228 36.14399)
168,2018,May-granbery House and Alford Cemetery,"Revolutionary War Pvt. John Alford built a two-room house on this land c. 1810, expanding it in 1812 and 1820. The Alford cemetery retains three markers that were placed as early as 1822. The c.1830 brick two-story Federal dwelling was home to James F. May, grandson of Knoxville founder Gen. James White. May purchased the land in 1837 and resided here until his death. James T. Granbery inherited and restored the house in 1939, and established Seven Springs Farm on the estate.",,Council District 4,621 Hill Road,36.047802,-86.754991,,POINT (-86.754991 36.047802)
19,1969,Meharry Medical College,"Meharry Medical College, established in 1876 through the efforts of Dr. George W. Hubbard, Dr. William J. Sneed, and Samuel Meharry, is the only AMA Accredited, privately endowed, predominantly Negro medical school in the world. During its first 90 years of service, it trained more Negro physicians and dentists than any other institution.",,replaced 2012,"Meharry Medical College, D.B. Todd Boulvard entrance",36.16677,-86.805937,,POINT (-86.805937 36.16677)
29,1970,Madison College,"Madison College was founded in 1904 as Nashville Agricultural Normal Institute by Seventh-day Adventists on a farm of 412 acres. A sanitarium and campus industries were integral to the plan of work and study for students training for careers in agriculture, teaching, religion, industrial arts, nursing and allied health courses, and other fields.",,,"Hospital Drive off of Neely's Bend Road, Madison",36.250539,-86.683834,,POINT (-86.683834 36.250539)
62,1976,Newsom's Mill,"The original Newsom's Mill was located upstream & was destroyed by flood in 1808. Joseph M. Newsom constructed this turbine-powered gristmill in 1862 of hand-dressed limestone cut from Newsom's quarry, a mile south. Newsom's stone is found in many important buildings in the city of Nashville.",,,"Charlotte Pike (Hwy 70), between Buffalo Road and Huntwick",36.0917,-86.986567,,POINT (-86.986567 36.0917)
126,2008,"Battle of Nashville (december 16, 1864) Assault on the Barricade","During the retreat from Nashville, Colonel Edmund Rucker's brigade attempted to block the Union pursuit by erecting a barricade of fence rails and logs across Granny White Pike, 1/2 mile south of this spot. During the ensuing night attack by Union cavalry, fierce hand-to-hand fighting took place until the position finally was overrun around midnight, with Rucker wounded and then captured.",TRUE,Donated by Richland Country Club,Granny White Pike at Richland Country Club,36.050964,-86.816416,,POINT (-86.816416 36.050964)
183,2018,Kenner Manor Historic District,"Originally part of the Woodlawn estate, this property was subdivided in 1916 by Duncan Kenner and the Kenner Manor Land Company. Many houses on Kenner Avenue and Woodmont Circle were built in the 1920s, and in 1929 the Clearview Subdivision was platted on Crescent Road and Clearview Drive. The neighborhood's early-20th-century homes retain much of their original character. The Kenner Manor Historic District was listed in the National Register of Historic Places in 2016.",,,Kenner Ave. at Woodmont Cir.,36.119153,-86.840325,,POINT (-86.840325 36.119153)
212,,Betty Chiles Nixon,"Betty Nixon was a trailblazing woman in Nashville politics, an ardent preservationist, and a relentless advocate for the city's people and neighborhoods. She served on the Metro Council from 1975 to 1987, was the first woman to chair its Budget and Finance Committee, and ran for mayor in 1987 and 1991. Nixon and her first husband, U.S. District Judge John T. Nixon, purchased this 1925 Colonial Revival house in 1971. It was the setting for her campaigns and community activism.",,,1607 18th Avenue South,36.138601,-86.796764,ordered/ not arrived,POINT (-86.796764 36.138601)
115,2003,Ezell House,"In 1805 Jeremiah Ezell (1775-1838) moved here from Virginia and purchased 17 acres of land on Mill Creek. In 1816 he served on the Court of Pleas for Davidson County. In 1888, his grandson, Henry Clay Ezell, built this brick vernacular Queen Anne style house. His large farm was known for breeding fine mules from stock imported from Spain.",,replaced in 2017,Corner of Old Ezell Road and Donelson Pike/Harding Place     652 Old Ezell Road,36.098286,-86.677242,,POINT (-86.677242 36.098286)
202,2019,Contemporary Christian Music,"Religious music was integral to Nashville's identity as 'Music City,' from early music publishing houses to the international impact of the Fisk Jubilee Singers. Key artists nurtured locally in the 1970s eventually crossed over to mainstream fans and by the 1990s, Contemporary Christian and Gospel Music outsold jazz and classical. Nashville also became the capital of this new genre, serving as home to the Gospel Music Association, major labels and a growing creative community.",,"double sided Sponsored by Capital Christian Music Group, Curb|Word Entertainment, and Provident Label Group",1000 16th Ave S,36.146636,-86.792464,,POINT (-86.792464 36.146636)
11,1968,Samuel Watkins 1794-1880,"Brick manufacturer and builder, who fought under General Andrew Jackson in the Creek campaigns and at the Battle of New Orleans, left at his death in 1880 property and $100,000 as an endowment for a school later called Watkins Institute, organized in 1885. A pioneer school for adult education, and a leader in arts education, it has been in continuous operation since 1889.",,moved to Watkins College of Art and Design with updated text ( 2011),2298 Rosa L Parks Boulevard,36.193756,-86.806218,,POINT (-86.806218 36.193756)
124,2007,First Baptist Church East Nashville,"Founded in 1866 under the direction of Rev. Randall B. Vandavall, First Baptist Church East Nashville built. This Classical Revival building between 1928 and 1931, during the height of Rev. W.S. Ellington's career. Nashville artist Francis Euphemia Thompson painted the distinctive baptistry murals in the 1950s and 1960s. At that time the church served as a frequent meeting place for the African-American community during the Civil Rights Movement.",,Donated by FBC East Nashville,601 Main Street,36.1739,-86.762598,,POINT (-86.762598 36.1739)
201,2019,Turner Grammar School,"By 1800 Whitsett's Chapel became this area's first school.  In Jan. 1899 Flat Rock native, philanthropist and real estate developer R.W. Turner and wife Sallie W. Turner gave 2 acres for a new 9th dist. public school.  The first Turner School was overcrowded by the 1920s.  Designed by architect George D. Waller, Turner Grammar School opened in 1926 with Otto Prather as principal.  The cafetorium dates to 1950.  An annex of Cole Elem. in its final years, the school closed in 1989.",,Council District 15,2949 Nolensville Pike,36.108371,-86.744044,,POINT (-86.74404400000002 36.108371)
81,1982,Cane Ridge Cumberland Presbyterian Church,"Cane Ridge Cumberland Presbyterian Church, built in 1859, replaced a log building which occupied land donated by Edwin Austin & Thomas Boaz in 1826. One of the best known pastors was Hugh Bone Hill who also preached at the Jerusalem Church in Rutherford County. Isaac Johnson, a Revolutionary War soldier, died 1839 & is buried in the church cemetery.",,,"13411 Old Hickory Boulevard, Antioch",36.000746,-86.634162,,POINT (-86.634162 36.000746)
182,2018,Nettie Napier Day Home Club,"Nettie Langston Napier had a Day Home Club on this site by 1907. It provided childcare, meals, education and healthcare for the children of poor, working African American mothers. Napier appointed a vice president for each of the city's wards, each responsible for soliciting funds and donations. The wife of prominent banker, lawyer and public figure James C. Napier, Nettie Langston Napier was a talented musician, avid social activist and member of the women's club movement.",,Marker Project-priority list,6144th Ave S,36.154218,-86.772692,,POINT (-86.772692 36.154218)
71,1980,Disciples of Christ Historical Society,"Library and archives of the 19th c. American religious unity movement which became: the Christian Church (Disciples of Christ); Christian Churches; and Churches of Christ. Located here, 1958, in the Thomas W. Phillips Memorial. Architects: Hoffman & Crumpton; Hart, Freeland & Roberts. Sculptor: Puryear Mims. Stained glass artist: Gus Baker.",,,1101 Nineteenth Avenue South,36.145665,-86.797425,,POINT (-86.797425 36.145665)
153,2013,Cockrill School,"Through the efforts of Mark Sterling Cockrill and Lemuel Davis, a school serving West Nashville children in grades 1-8 opened near here in 1888. High school grades were soon added and the school became West Nashville High School. Following annexation, the school was renamed Cockrill School in 1907. The Public Works Administration constructed the current building at this location, the former Clifton Park. Designed by Marr and Holman, this building opened in 1940.",,,610 49th Avenue North,36.154561,-86.846068,,POINT (-86.846068 36.154561)
46,1971,Hyde's Ferry Turnpike,"Here was toll-gate No.2 of the Hyde's Ferry Turnpike Co., chartered in 1848 to build a road from Nashville to Ashland City and Sycamore Mills.  Richard Hyde's ferry crossed the Cumberland 2.6 mi. southeast, where the railroad bridge is now.  Davidson County paid $10,000 for its part of the road in 1901.  Cheatham County bought its portion and freed it from tolls in 1916.",,,"Ashland City Highway/Hydes Ferry Road, between Cato Road and Eatons Creek Road",36.208889,-86.864167,,POINT (-86.864167 36.208889)
136,2009,Scottsboro,"In 1869, Tom Scott opened a general store 500 yards to the southwest on Old Hyde's Ferry Pike that also served as a post office and public gathering place. Scott's Store became the center of this farming community, which stretches north to Joelton and south to the tip of Bells Bend. The unincorporated crossroads community was called Scott's Store until 1902, when it was renamed Scottsboro.",,double-sided,Old Hickory Blvd at Ashland City Highway,36.211694,-86.920493,,POINT (-86.920493 36.211694)
3,1968,Site of First Store,"Lardner Clark, 'Merchant and Ordinary Keeper,' came from Philadelphia, Penn. in the early 1780s with ten horses packed with goods to sell. He established Nashville's first drygoods store by 1783, on a site 30 yards east. Clark sold calicoes, unbleached muslin, thimbles, pins, liquors, and provender for horses. Many customers traded pelts and furs for his goods. The building—which served as a store, tavern, and dwelling—faced south and was known as 'the house with the piazza.'",,Marker Project- prioirty list replaced with updated text 2018 wall marker,NE corner of Second Avenue North and Banks Street,36.234238,-86.777439,,POINT (-86.777439 36.234238)
67,1976,Waverly Place,"About 100 yards east stood Waverly, the home of A.W. Putnam, a writer and historian. The house was named for the Waverley Novels by Sir Walter Scott. Putnam sold Waverly in 1858, and in 1887 the land was conveyed to a real estate syndicate—the Waverly Land Co.  The land was subdivided into lots, and became a streetcar suburb serviced by the Waverly Place-Glendale Park line. Several of the streets—Grantland, White, and Ridley—are named for members of the land syndicate.",,Marker Project- prioirty list replaced with updated text in 2018,Benton Avenue near Eigth Avenue South,36.132515,-86.778657,,POINT (-86.778657 36.132515)
199,2019,Jewish Community Center Bombing,"At 8:07 p.m. on Sunday, March 16, 1958 a bomb exploded at the Jewish Community Center at 3500 West End Avenue. The JCC, which was located here from 1952-84, often hosted community meetings aimed at desegregating Nashville's schools and communities based on the Jewish values of equality and justice for all. Rabbi William Silverman received a call from the 'Confederate Underground' claiming responsibility for the bombing.  The JCC opened one day later to demonstrate its resilience.",,Council District 24,440 Greenway entrance at West End Avenue,36.136352,-86.822402,,POINT (-86.822402 36.136352)
114,2003,Germantown Historic District,"European immigrants established Germantown, the first suburb in North Nashville, in the 1850s. Large brick townhouses stood next to modest workers' cottages, illustrating the area's economic and social diversity. World War I and changes in public attitude began decades of decline. Renovation projects at two historic churches began the neighborhood's revitalization in the 1970s. Germantown became a National Register Historic District in 1979.",,,"Jefferson Street, between Sixth Avenue North and Seventh Avenue North",36.173883,-86.789012,,POINT (-86.789012 36.173883)
188,2019,May Hosiery Mills,"In 1897, Jacob May and his family moved to Nashville and opened the Rock City Hosiery Mill. May obtained a contract to use convict labor for his mill, located inside the state penitentiary on Church Street. In 1908, May incorporated the company under a new name—May Hosiery Mills—and opened a new location next to the Louisville & Nashville railroad terminal on Brown St. in South Nashville. Jacob ran the mill with the help of his sons, Mortimer and Dan, until his death in 1946.   In the early 20th century, the mill was among the largest employers in Nashville. It employed many Jewish refugees the May family helped flee Nazi Germany in the 1930s. For much of the mill's 88 years, its hundreds of employees, mostly women, manufactured a million socks a week. The factory supplied major department stores nationwide and made the socks worn by the NASA Apollo 11 crew. The mill ceased operations in 1985 and has since served as space for artists and businesses.",,Council District 17,429 Chestnut Street,36.143634,-86.769339,,POINT (-86.769339 36.143634)
127,2008,Una Community,"The Una community developed around the crossroads of Smith springs road and Old Murfreesboro Pike in the early 19th century. The local postmaster changed the community name from Rowesdale, or Rosedale, to Una in 1882, honoring a Peabody college student much loved by local residents. Home to schools, churches, a general store, and a service station, this bustling tightly-knit rural community was supplanted by suburban development by the end of the 20th century.",,Sponsored by Metro Council member Vivian Wilhoite,Smith Springs Road and Old Murfreesboro Road,36.096776,-86.654516,,POINT (-86.654516 36.096776)
76,1982,Customs House,"President Rutherford B. Hayes laid its cornerstone in 1877. Designed by Treasury Department architect W.A. Potter, it was occupied in 1882 by collectors of customs and internal revenue, U.S. courts, and Nashville's main post office. Addition to rear began in 1903, wings in 1916. Declared surplus in 1976, then given to the City, it was renovated by the development firm that leased it.",,,701 Broadway,36.15909,-86.781309,,POINT (-86.781309 36.15909)
171,2018,Smith-carter House,"This stone, Monterey-style house was built in 1925 and purchased in 1952 by 'Mr. Country,' Carl Smith, just weeks before his marriage to June Carter, of the famed Carter Family. The farm remained home to June and daughter Carlene after the couple's 1956 divorce, during which time The Carter Family became a regular Grand Ole Opry act. In 1963, June wrote 'Ring of Fire' here with Merle Kilgore, a certified Gold single recorded soon after by Johnny Cash and The Carter Family.   The Carter Family toured with Cash, often appearing on his show. June and Johnny recorded several duets and married in 1968. Family matriarch 'Mother Maybelle' Carter, who developed the transformative 'Carter Scratch' guitar picking style, moved here with husband Ezra in 1971 during his illness. Inducted into the Country Music Hall of Fame in 1970, Maybelle was featured on the 1972 Nitty Gritty Dirt Band album Will the Circle Be Unbroken. She stayed here until her death in 1978.",,Council Distric 8,1020 Gibson Drive,36.251452,-86.722541,,POINT (-86.722541 36.251452)
72,1981,Mansker's First Fort,"Here on west bank of the creek that he discovered in 1772, Kasper Mansker and other first settlers built a log fort in 1779. John Donelson's family fled here in 1780 for safety from Indians. Mansker abandoned the fort in 1781 and moved to Fort Nashborough. He returned in 1783, built a stronger stockade on east bank of the creek a half mile upstream, and lived there until he died in 1820.",,there is also a Tennessee Historical Commision on the same side of the street--3A 146,"Goodlettsville, on Long Hollow Pike between Northcreek Boulevard and Jackson Road",36.322626,-86.690376,,POINT (-86.690376 36.322626)
24,1970,Lockeland Spring,"Located 250 yds. S.E., this famous pioneer spring served Lockeland mansion on site of present school building. Home built by Col. Robert Weakley in early 1800's and named for his wife, daughter of Gen. Matthew Locke of Salisbury, N.C. Spring water won prize at St. Louis Exposition in 1904, for its 'unique mineral composition and salubrious quality.'",,,corner of Woodland Street and North 17th Street,36.176729,-86.739668,,POINT (-86.739668 36.176729)
172,2018,"Odom's Tennessee Pride Sausage, Inc.","In 1943, with a $1000 loan from a friend, Douglas G. Odom, Sr., his wife Louise, and their children—Doug Jr., Richard, Judy, and June—started a four-hog a day sausage business. Before selling the company in 2012, the three generation family-owned business was one of the largest independent sausage manufacturers in America. The iconic farmboy and slogan, 'Take Home a Package of Tennessee Pride,' were regular features on Grand Ole Opry television broadcasts starting in 1956.",,Council District 9,1145 Neely's Bend Rd.,36.24461,-86.678367,,POINT (-86.678367 36.24461)
173,2018,Old Hickory Works,"In Jan. 1918, the area known as Hadley's Bend was purchased by the U.S. government to build a smokeless gunpowder factory to supply the Allied troops during World War I. The contract for the plant—called Old Hickory Works—was awarded to DuPont Co. Over 7 miles of rail were laid to connect the plant to Hermitage Station, bringing in about 31,000 passengers daily. The almost 5,000 acre property started at the Cumberland River and reached to what is now the Hermitage Golf Course.",,Council District 11,Old Hickory Blvd. at Montchanin Dr.,36.234238,-86.625403,NOT UP YET,POINT (-86.625403 36.234238)
128,2008,Dutchman's Curve Train Wreck,"The deadliest train wreck in U.S. history occurred on July 9, 1918, when two crowded trains collided head-on at Dutchman's Curve. The impact caused passenger cars to derail into surrounding cornfields, and fires broke out throughout the wreckage. Over 100 died, including many African-American workers journeying to work at the munitions plant near Old Hickory.",,Sponsored by the Bellevue Harpeth Historic Association,White Bridge Pike at Richland Creek Greenway Trailhead,36.12713,-86.85044,,POINT (-86.85044 36.12713000000001)
162,2018,Hca Healthcare,"In 1968, Hospital Corporation of America (HCA) was founded by Dr. Thomas Frist Sr., his son Dr. Thomas Frist Jr., and businessman Jack C. Massey. The original office was located here, in a small house near HCA's first hospital—Park View. At the time, it was one of the nation's first hospital companies. With a mission to care for and improve human life, the Nashville-based company, now called HCA Healthcare, has grown into one of the nation's largest healthcare services providers.",,,250 25th Ave N,36.152988,-86.81222,,POINT (-86.81222 36.152988)
209,2019,Olive Branch Missionary Baptist Church,"In 1871, District 6 school commissioners John Briley, Benjiah Gray and Jason Austin bought one acre of land from James Thompson for an African American school. In 1873, African American members of the Benevolent Society of Olive Branch No. 38 established Olive Branch Cemetery. Olive Branch Missionary Baptist Church (est. 1875) used the one-room school for services until the church was built. The church was re-built in 1971. Due to its condition, the school was demolished c. 1980.",,Council District 33,5988 Cane Ridge Road,36.005441,-86.639832,waiting to install,POINT (-86.639832 36.005441)
77,1982,Fall School,"Fall School, built in 1898, is the oldest public school building remaining in Nashville. Named after Mr. P.S. Fall, a prominent Nashville businessman and member of the Board of Education from 1865-1867, it served as an elementary school until 1970. In 1982 it was privately renovated for offices. Unlike the earlier study hall design, Fall School had individual classrooms.",,,1116 Eighth Avenue South,36.141902,-86.778561,,POINT (-86.778561 36.14190200000001)
96,1996,Christ Church Cathedral,"Organized in 1829, Christ Church was Nashville's first Episcopal parish. The present Victorian Gothic church, designed by Francis Hatch Kimball of New York, opened for services on Dec. 16, 1894; the tower, by local architect Russell E. Hart., was added in 1947. Designated the Cathedral for the diocese of Tennessee at the 1995 Diocesan Convention.",,"text on one side, sketch of the original building on the other",900 Broadway,36.158593,-86.782399,,POINT (-86.782399 36.158593)
56,1975,Devon Farm,"Home of John Davis, early surveyor, who came from N.C. to Nashville in 1788. Davis was an Indian fighter & scout in the State Militia until 1795. He settled on Big Harpeth in 1795-96 and that year built a 1½-story home of hand-made brick. The farm, named for Devon cattle bred here, has been owned by seven generations of Davis-Hicks descendants.",,Marker Project- prioirty list replaced with updated text in 2018,Hwy 100 near Devon Farm entrance,,,CURRENTLY MISSING,
187,2019,Dodson School,"As early as 1815, school was held nearby at Stoner's Lick Methodist Church. In 1843, early settler Timothy Dodson granted land for a dedicated schoolhouse that was built c. 1855. After it burned, classes were held at the Hermitage railroad station until a one-room frame school was rebuilt in 1880. Old Dodson School was built in 1936, expanded in 1950 and 1955; it was desegregated Jan. 23, 1961. Dodson School, designed by Nashville architect Earl Swensson, opened here in 1968.",,Council District 12,4401 Chandler Road,36.191264,-86.60361,,POINT (-86.60361 36.191264)
136,2009,Bells Bend,"Bells Bend, first known as White's Bend, is an 18-square-mile area encompassed by a U-shaped bend in the Cumberland River. Numerous archaeological sites indicate that the area has been inhabited for at least 10,000 years. Bells Bend has thrived as an agricultural community since the early 19th century with land owners that included Montgomery Bell and David Lipscomb. The Clees family operated a mill and ferry service beginning in the 1870's. Clees Ferry ceased operation in 1990.",,double-sided,Old Hickory Blvd at Ashland City Highway,36.211694,-86.920493,,POINT (-86.920493 36.211694)
93,1995,Mill Creek Baptist Church and Graveyard,"Mill Creek Baptist Church, mother church of Southern Baptists in Davidson County, occupied two meeting houses at this site from 1797 until the early 20th century. Here, in 1833, Baptists formed the first Tennessee Baptist Convention. The church's graveyard includes the graves of many early settlers of both African and European descent.",,,Glenrose Avenue at Dodge Drive,36.118829,-86.727785,,POINT (-86.727785 36.118829)
41,1971,First Steam Locomotive,"On Dec. 13, 1850, the first steam engine, Tennessee No. 1, ordered by the Nashville & Chattanooga Railroad arrived at the wharf on the steamboat Beauty, from Cincinnati. The one mile trip on improvised track from the wharf to the S. Cherry St. crossing required 4 days by mule power. A one mile run was made from this point on Dec. 27, 1850.",,replaced with updated text 2011,Fourth Avenue South railroad crossing at Hart Street (Dudley Park),36.142497,-86.765044,,POINT (-86.765044 36.142497)
180,2018,Rock City,"Rock City was an African American community established c.1881, which was soon followed by the founding of First Baptist Church Rock City. Named for a rock quarry in the area, the approx. boundaries were Cahal Ave. to the south, Branch St. to the east, Litton Ave. to the north and Pennington Ave. to the west. Community children attended Rock City Elementary on Pennington Ave., which closed in 1954. The Men's Civic Club raised funds to provide support for the church and community.",,Council District 7,1500 Ann St.,36.198592,-86.727957,,POINT (-86.727957 36.198592)
14,1969,Nashville Centennial 1780-1880,"On April 24, 1880, Nashville began a month-long celebration of 100 years since the signing of the Cumberland Compact. Starting with a 100-gun salute at the Capitol, a procession of dignitaries, veterans, businesses and community groups paraded to the Centennial Exposition building here. The evening featured speeches, music and a grand display of fireworks. Vendors sold Centennial Medals bearing the likeness of the recently dedicated Capitol statue of Pres. Andrew Jackson.",,Marker Project- prioirty list replaced with updated text 2018,801 Broadway,36.158322,-86.78247,,POINT (-86.78247 36.158322)
131,2008,Mud Tavern,"The Mud Tavern Community developed around the crossroads of the Elm Hill and McGavock Turnpikes. The name derives from the mud and log inn at the crossroads where early 19th century travelers found rest and refreshment. Mud Tavern later became a lively rural community, with a railway stop, schools, post office, and general store, which thrived until overtaken by 20th century commercial development.",,,2200 Elm Hill Pike,36.152833,-86.689894,,POINT (-86.68989400000001 36.152833)
179,2018,Germantown Brewery District,"Germantown was home to many 19th-cen. European immigrants who brought their trade skills to Nashville, including brewing. By 1865 Germantown was home to 4 breweries: North Nashville Brewery (C. Kreig); Rock City Brewery (F. Kuhn); Cumberland Brewery (J. Ritter); and City Brewery (F. Leitenberger). By the 1870s all of these breweries had closed due to the success of J. Stiefel's S. Nashville Brewing Co. and shipments from Midwestern breweries via iced rail cars and riverboats.",,"text on one side, map on other",1200 5th Ave N,36.175239,-86.787948,,POINT (-86.787948 36.175239)
